horse_id	日付	開催	天気	R	レース名	映像	頭数	枠番	馬番	オッズ	人気	着順	騎手	斤量	距離	馬場	馬場指数	タイム	着差	ﾀｲﾑ指数	通過	ペース	上り	馬体重	厩舎ｺﾒﾝﾄ	備考	勝ち馬(2着馬)	賞金
2020102562	2023/01/05	1中山1	晴	1	3歳未勝利		16	1	1	36.1	6.0	3	津村明秀	54	ダ1200	良	**	1:12.9	0.3	**	10-7	33.7-38.9	37.7	428(+6)			シュバルツガイスト	140.0
2020102562	2022/10/16	4東京5	曇	5	2歳新馬		18	7	13	115.7	14.0	9	津村明秀	54	芝1400	良	**	1:24.5	1.0	**	14-12	36.9-33.7	33.7	422(0)			シェーンプリマー	
2020100039	2024/02/25	2小倉6	晴	3	4歳以上1勝クラス		14	8	13	180.8	13.0	12	佐藤翔馬	53	ダ1000	重	**	0:59.0	1.5	**	10-10	33.7-35.0	35.7	488(-2)			ジューンアース	
2020100039	2024/01/28	1小倉6	曇	3	4歳以上1勝クラス		14	1	1	298.4	14.0	8	佐藤翔馬	53	ダ1000	良	**	1:00.3	2.2	**	7-7	33.9-35.4	36.8	490(+12)			マキアージュ	
2020100039	2023/12/02	4中京1	晴	8	3歳以上1勝クラス		16	3	6	168.1	16.0	16	荻野琢真	55	ダ1200	良	**	1:15.4	3.4	**	4-6	34.2-37.8	40.6	478(+6)			サイレンスゴールド	
2020100039	2023/11/12	3福島4	曇	12	3歳以上1勝クラス		16	8	15	132.5	14.0	14	大野拓弥	55	ダ1150	良	**	1:09.8	1.7	**	8-8	31.1-37.0	37.7	472(0)			リーゼントミニー	
2020100039	2023/10/21	4新潟3	小雨	12	3歳以上1勝クラス		15	5	9	74.2	12.0	14	小林勝太	52	ダ1200	重	**	1:12.0	1.2	**	8-8	34.2-36.6	37.2	472(+12)			ビップシュプリーム	
2020100039	2023/07/08	2福島3	曇	12	3歳以上1勝クラス		13	7	10	25.8	8.0	11	大野拓弥	53	ダ1150	良	**	1:09.6	0.8	**	4-5	31.3-37.5	37.6	460(-12)			クリノアルバトロス	
2020100039	2023/04/23	2東京2	晴	6	3歳1勝クラス		16	6	12	204.5	16.0	8	大野拓弥	54	ダ1400	良	**	1:26.8	1.3	**	13-14	35.5-37.8	37.5	472(-4)			ロードフォンス	
2020100039	2023/03/04	2中山3	晴	7	3歳1勝クラス		16	8	16	95.2	12.0	8	松岡正海	54	ダ1200	良	**	1:11.8	0.8	**	7-6	33.1-37.9	37.7	476(-2)			ハチメンロッピ	
2020100039	2023/02/19	1東京8	曇	3	3歳1勝クラス		16	1	2	102.4	11.0	12	浜中俊	54	ダ1400	稍	**	1:27.0	2.6	**	7-8	35.5-36.3	38.4	478(0)			スマートフォルス	
